FIPS code;GeoName;State;2001 Personal income (thousands of dollars) ;2002 Personal income (thousands of dollars) ;2003 Personal income (thousands of dollars) ;2004 Personal income (thousands of dollars) ;2005 Personal income (thousands of dollars) ;2006 Personal income (thousands of dollars) ;2007 Personal income (thousands of dollars) ;2008 Personal income (thousands of dollars) ;2009 Personal income (thousands of dollars) ;2010 Personal income (thousands of dollars) ;2011 Personal income (thousands of dollars) ;2012 Personal income (thousands of dollars) ;2013 Personal income (thousands of dollars) ;2014 Personal income (thousands of dollars) ;2015 Personal income (thousands of dollars) ;2016 Personal income (thousands of dollars) ;2017 Personal income (thousands of dollars) ;2018 Personal income (thousands of dollars) ;2019 Personal income (thousands of dollars) ;2020 Personal income (thousands of dollars) ;2021 Personal income (thousands of dollars) ;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/
1021;Chilton County;Alabama;841751;865097;903819;966614;1028584;1101420;1172674;1192330;1182449;1203944;1260050;1288960;1302152;1336464;1401864;1429204;1487586;1542726;1625231;1735704;1890118;40197;40683;41079;41534;41946;42318;42881;43239;43484;43661;43762;43715;43823;44021;44026;44251;44546;44608;44902;45024;45274;40197;40683;41079;41534;41946;42318;42881;43239;43484;43661;43762;43715;43823;44021;44026;44251;44546;44608;44902;45024;45274
1023;Choctaw County;Alabama;311981;314837;319993;323611;319997;333280;341153;347079;355916;387150;400445;429756;454965;463505;466573;465612;474588;489478;493492;522594;554469;15677;15367;15199;14930;14545;14431;14216;14114;13976;13853;13637;13616;13473;13416;13352;13183;13077;12984;12768;12619;12533;15677;15367;15199;14930;14545;14431;14216;14114;13976;13853;13637;13616;13473;13416;13352;13183;13077;12984;12768;12619;12533
1025;Clarke County;Alabama;550442;552882;578238;616699;638198;668885;703139;710481;711472;737028;747607;752619;786252;803132;829491;837091;834683;848566;875506;962622;1029481;27624;27267;27090;26958;26764;26755;26436;26283;26038;25760;25552;25095;25036;24750;24560;24164;23878;23733;23393;22995;22760;27624;27267;27090;26958;26764;26755;26436;26283;26038;25760;25552;25095;25036;24750;24560;24164;23878;23733;23393;22995;22760
1027;Clay County;Alabama;289643;295798;308221;337156;364201;383770;390022;402671;387963;388591;364329;368630;377374;397863;419255;418739;426968;440559;457035;491935;549223;14298;14257;14203;14121;14077;14053;14085;14161;14006;13924;13822;13672;13751;13897;13976;14062;14132;14184;14256;14193;14190;14298;14257;14203;14121;14077;14053;14085;14161;14006;13924;13822;13672;13751;13897;13976;14062;14132;14184;14256;14193;14190
1029;Cleburne County;Alabama;290491;294919;303828;332212;351463;359484;381879;402683;399510;421212;427745;451306;471359;494310;513797;507578;523320;536201;538034;566371;646954;14222;14416;14438;14339;14368;14538;14799;14874;14918;15006;14938;14907;15000;15062;14964;14919;14979;15110;15021;15035;15103;14222;14416;14438;14339;14368;14538;14799;14874;14918;15006;14938;14907;15000;15062;14964;14919;14979;15110;15021;15035;15103
1031;Coffee County;Alabama;1106471;1142730;1207504;1313442;1356936;1410535;1542982;1656188;1678519;1780123;1816243;1845972;1885332;1916967;2017252;2046903;2112287;2190302;2286312;2435403;2665155;43716;43930;44315;45053;45604;46228;47458;48516;49440;50213;50494;51241;50825;50843;51189;51501;52200;52389;52968;53565;54174;43716;43930;44315;45053;45604;46228;47458;48516;49440;50213;50494;51241;50825;50843;51189;51501;52200;52389;52968;53565;54174
1033;Colbert County;Alabama;1188762;1206823;1286109;1364896;1451850;1534172;1617000;1664153;1658530;1730889;1780368;1795218;1811528;1882737;1935817;1969522;2012946;2063842;2157624;2351727;2544890;54793;54536;54279;54380;54359;54413;54486;54473;54426;54572;54768;54980;55123;55240;55373;55595;55978;56452;56912;57236;57474;54793;54536;54279;54380;54359;54413;54486;54473;54426;54572;54768;54980;55123;55240;55373;55595;55978;56452;56912;57236;57474
1035;Conecuh County;Alabama;278732;277788;280961;290959;307943;313617;323979;333773;332963;348398;348564;350753;372009;362572;377069;374679;386476;399123;402913;437665;471880;13940;13793;13585;13430;13421;13603;13441;13388;13274;13226;13155;12973;12808;12544;12517;12308;12214;12020;11787;11552;11328;13940;13793;13585;13430;13421;13603;13441;13388;13274;13226;13155;12973;12808;12544;12517;12308;12214;12020;11787;11552;11328
1037;Coosa County;Alabama;235508;237537;255129;270274;272886;289135;293334;306204;298333;281196;291776;294414;297156;295890;309770;319553;323056;332054;347795;369036;399977;11848;11740;11732;11560;11467;11451;11439;11493;11410;11772;11449;11282;11165;10925;10798;10651;10538;10409;10441;10383;10450;11848;11740;11732;11560;11467;11451;11439;11493;11410;11772;11449;11282;11165;10925;10798;10651;10538;10409;10441;10383;10450
1039;Covington County;Alabama;796430;812404;852050;898877;921517;950600;1005376;1049626;1061206;1117166;1120968;1141553;1168186;1196947;1230421;1238162;1281487;1312025;1333444;1415448;1555667;37069;36901;36860;36806;37204;37441;37631;37545;37648;37824;38095;37937;38005;38007;37862;37749;37477;37447;37591;37469;37524;37069;36901;36860;36806;37204;37441;37631;37545;37648;37824;38095;37937;38005;38007;37862;37749;37477;37447;37591;37469;37524
