FIPS code;GeoName;State;2001 Personal income (thousands of dollars) ;2002 Personal income (thousands of dollars) ;2003 Personal income (thousands of dollars) ;2004 Personal income (thousands of dollars) ;2005 Personal income (thousands of dollars) ;2006 Personal income (thousands of dollars) ;2007 Personal income (thousands of dollars) ;2008 Personal income (thousands of dollars) ;2009 Personal income (thousands of dollars) ;2010 Personal income (thousands of dollars) ;2011 Personal income (thousands of dollars) ;2012 Personal income (thousands of dollars) ;2013 Personal income (thousands of dollars) ;2014 Personal income (thousands of dollars) ;2015 Personal income (thousands of dollars) ;2016 Personal income (thousands of dollars) ;2017 Personal income (thousands of dollars) ;2018 Personal income (thousands of dollars) ;2019 Personal income (thousands of dollars) ;2020 Personal income (thousands of dollars) ;2021 Personal income (thousands of dollars) ;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/;2001 Population (persons) 1/;2002 Population (persons) 1/;2003 Population (persons) 1/;2004 Population (persons) 1/;2005 Population (persons) 1/;2006 Population (persons) 1/;2007 Population (persons) 1/;2008 Population (persons) 1/;2009 Population (persons) 1/;2010 Population (persons) 1/;2011 Population (persons) 1/;2012 Population (persons) 1/;2013 Population (persons) 1/;2014 Population (persons) 1/;2015 Population (persons) 1/;2016 Population (persons) 1/;2017 Population (persons) 1/;2018 Population (persons) 1/;2019 Population (persons) 1/;2020 Population (persons) 1/;2021 Population (persons) 1/
17165;Saline County;Illinois;609457;617043;638116;645111;661685;693837;734154;760695;777575;827102;858514;872693;878640;875837;875931;871680;907748;931557;950629;1021802;1105419;26249;26060;25832;25763;25526;25482;25390;25140;24911;24912;24965;25021;24956;24697;24743;24509;24304;24148;23961;23634;23320;26249;26060;25832;25763;25526;25482;25390;25140;24911;24912;24965;25021;24956;24697;24743;24509;24304;24148;23961;23634;23320
17167;Sangamon County;Illinois;6113086;6249533;6264147;6337984;6450674;6654598;6946474;7247015;7412249;7788934;8101703;8155196;8385567;8649713;8817549;8912615;9097212;9353837;9738357;10399553;11139859;189924;190756;191339;191885;192432;193317;194025;195094;196180;197825;199329;199929;199907;200189;200127;199453;198743;197587;196873;196012;194734;189924;190756;191339;191885;192432;193317;194025;195094;196180;197825;199329;199929;199907;200189;200127;199453;198743;197587;196873;196012;194734
17169;Schuyler County;Illinois;179231;181292;195007;212116;207192;216570;227395;254052;257712;263478;278564;282058;304746;295185;272601;278014;278782;287097;301478;331919;351616;7123;7175;7236;7374;7508;7513;7545;7543;7489;7538;7482;7490;7441;7324;7225;7129;7086;7011;6956;6875;6843;7123;7175;7236;7374;7508;7513;7545;7543;7489;7538;7482;7490;7441;7324;7225;7129;7086;7011;6956;6875;6843
17171;Scott County;Illinois;115651;114939;121189;142553;136503;140682;153529;169708;164921;174871;189716;183615;210066;195878;177805;188765;190022;205337;200283;226831;255055;5541;5505;5507;5467;5457;5392;5388;5373;5373;5329;5229;5285;5205;5162;5101;5040;4968;4934;4955;4927;4836;5541;5505;5507;5467;5457;5392;5388;5373;5373;5329;5229;5285;5205;5162;5101;5040;4968;4934;4955;4927;4836
17173;Shelby County;Illinois;529468;513642;539833;590931;578854;604796;660086;724815;705360;736469;783074;741465;808344;764937;769833;780182;813254;864486;893627;975676;1080552;22702;22656;22625;22484;22445;22379;22314;22398;22386;22344;22230;22114;22010;21932;21613;21490;21489;21363;21265;20900;20789;22702;22656;22625;22484;22445;22379;22314;22398;22386;22344;22230;22114;22010;21932;21613;21490;21489;21363;21265;20900;20789
17175;Stark County;Illinois;175611;162242;165764;180024;170270;179564;201008;211071;192221;192536;227928;219548;268314;236798;212813;222780;226443;234677;222850;262069;299379;6308;6268;6196;6172;6136;6156;6143;6109;6043;5974;5860;5774;5753;5660;5578;5606;5554;5515;5431;5391;5294;6308;6268;6196;6172;6136;6156;6143;6109;6043;5974;5860;5774;5753;5660;5578;5606;5554;5515;5431;5391;5294
17177;Stephenson County;Illinois;1365996;1394793;1436227;1419602;1414963;1479451;1549149;1572610;1528899;1598511;1703163;1733335;1755449;1759588;1788038;1818025;1815298;1872134;1934906;2070777;2236948;48625;48367;48503;48479;48105;47917;47794;47805;47792;47623;47413;47046;46899;46560;46022;45917;45463;45228;44956;44457;44021;48625;48367;48503;48479;48105;47917;47794;47805;47792;47623;47413;47046;46899;46560;46022;45917;45463;45228;44956;44457;44021
17179;Tazewell County;Illinois;3737224;3816980;3910343;4083275;4298182;4648601;4859965;5054480;4971013;5112978;5510945;5724358;5603557;5753863;5952567;6000587;5980466;6308965;6397480;6818971;7142436;128468;128722;128770;129656;130784;131804;133131;133893;135054;135495;135901;136217;136395;135516;134502;134184;133733;132698;132107;131018;130413;128468;128722;128770;129656;130784;131804;133131;133893;135054;135495;135901;136217;136395;135516;134502;134184;133733;132698;132107;131018;130413
17181;Union County;Illinois;412597;426859;442037;457967;467075;485206;506164;531974;565080;620661;619052;625244;643768;641084;660091;674140;683192;706994;723867;794702;839301;18116;18092;18116;18048;18071;18082;18066;17965;17909;17746;17778;17768;17769;17701;17650;17552;17479;17416;17318;17179;16923;18116;18092;18116;18048;18071;18082;18066;17965;17909;17746;17778;17768;17769;17701;17650;17552;17479;17416;17318;17179;16923
17183;Vermilion County;Illinois;1969602;2005247;2134731;2192939;2190817;2278139;2358364;2524780;2514221;2630848;2763271;2753785;2842672;2815524;2858492;2819439;2900331;2948681;2998893;3322909;3601015;83646;83299;82996;82955;82728;82715;82258;81930;81710;81617;81302;80657;80285;79393;78696;77897;77026;75921;74871;73883;73095;83646;83299;82996;82955;82728;82715;82258;81930;81710;81617;81302;80657;80285;79393;78696;77897;77026;75921;74871;73883;73095
17185;Wabash County;Illinois;302019;306403;319494;354469;350187;373325;390235;405445;401677;425979;446961;453163;470198;469278;456665;458934;476469;485324;495793;536343;579630;12755;12640;12561;12486;12451;12354;12237;12158;12040;11919;11813;11720;11718;11660;11696;11600;11560;11513;11488;11316;11202;12755;12640;12561;12486;12451;12354;12237;12158;12040;11919;11813;11720;11718;11660;11696;11600;11560;11513;11488;11316;11202
17187;Warren County;Illinois;426457;429415;445077;473944;455899;470822;507698;556302;551534;564055;627892;622146;715736;677865;627391;651468;660139;692499;682224;772284;867984;18471;18388;18227;17894;17874;17839;17828;17665;17689;17712;17843;17763;17689;17744;17494;17338;17196;17050;16895;16777;16531;18471;18388;18227;17894;17874;17839;17828;17665;17689;17712;17843;17763;17689;17744;17494;17338;17196;17050;16895;16777;16531
17189;Washington County;Illinois;453787;442664;462746;473776;462417;496746;508497;554148;586584;694520;728732;620768;606457;588173;580360;589905;623422;663418;677896;734644;797705;15258;15129;15189;15106;14950;15008;14890;14855;14755;14710;14568;14587;14395;14368;14234;14146;13926;13971;13882;13711;13655;15258;15129;15189;15106;14950;15008;14890;14855;14755;14710;14568;14587;14395;14368;14234;14146;13926;13971;13882;13711;13655
17191;Wayne County;Illinois;381572;380778;397979;449661;455361;474193;480629;549030;525583;566714;623109;619246;625138;602154;596091;578272;594361;619585;637527;700707;778266;17068;17007;16947;16881;16910;16829;16951;16930;16788;16741;16679;16690;16711;16652;16584;16634;16504;16390;16283;16121;15963;17068;17007;16947;16881;16910;16829;16951;16930;16788;16741;16679;16690;16711;16652;16584;16634;16504;16390;16283;16121;15963
17193;White County;Illinois;372275;371568;379120;435029;433673;469873;485542;537742;506886;553156;615937;600072;638900;624126;606284;604950;644517;664827;665468;690736;763253;15286;15138;15011;15089;15074;14942;14796;14868;14767;14610;14651;14630;14587;14462;14447;14367;14227;14010;13984;13808;13784;15286;15138;15011;15089;15074;14942;14796;14868;14767;14610;14651;14630;14587;14462;14447;14367;14227;14010;13984;13808;13784
17195;Whiteside County;Illinois;1539880;1501836;1545176;1648193;1684189;1782088;1902337;1998301;1975221;2057855;2220331;2203379;2305646;2288387;2278980;2287911;2351629;2396215;2456509;2686152;2894725;60511;60022;59489;59352;59094;59033;58819;58784;58667;58512;58402;57975;57767;57413;57407;57053;56640;56244;56009;55509;55305;60511;60022;59489;59352;59094;59033;58819;58784;58667;58512;58402;57975;57767;57413;57407;57053;56640;56244;56009;55509;55305
17197;Will County;Illinois;16767830;17306273;17994107;19420962;22193594;24419610;26007818;27680242;26606239;27353904;28708862;29732308;30480763;31646715;33463374;34181373;35521762;36703860;38115278;40232325;43419326;530086;553714;579547;605934;627610;650779;664048;671392;674970;679009;681714;684080;686060;688183;689605;692846;695610;696918;696874;695903;697252;530086;553714;579547;605934;627610;650779;664048;671392;674970;679009;681714;684080;686060;688183;689605;692846;695610;696918;696874;695903;697252
17199;Williamson County;Illinois;1555227;1625460;1679431;1769936;1876468;1981063;2081998;2199386;2285804;2439398;2530244;2623492;2629278;2680364;2773297;2795991;2856884;2957093;3069498;3285059;3499730;61737;62137;62510;63379;63875;64424;65201;65674;66229;66457;66832;66948;67699;67735;67822;67939;67577;67587;67267;67094;66879;61737;62137;62510;63379;63875;64424;65201;65674;66229;66457;66832;66948;67699;67735;67822;67939;67577;67587;67267;67094;66879
17201;Winnebago County;Illinois;7791661;7972240;8178058;8366564;8660406;9305762;9830457;9999535;9703678;9927137;10229989;10442634;10695061;10976714;11428873;11389321;11819955;12262236;12445570;13406114;14300207;280009;281162;283230;284337;286178;289405;293991;295726;295612;295184;294136;292964;292208;290327;289149;288439;287275;286556;285778;284858;283119;280009;281162;283230;284337;286178;289405;293991;295726;295612;295184;294136;292964;292208;290327;289149;288439;287275;286556;285778;284858;283119
17203;Woodford County;Illinois;1007157;1029069;1078104;1170683;1226287;1337600;1447485;1552095;1518054;1572396;1727986;1776294;1833052;1821876;1882927;1908374;1903029;2014983;2021871;2165509;2293649;35559;35698;36041;36514;37032;37385;37961;38452;38675;38670;38889;38918;39143;39203;39115;39132;38904;38719;38641;38395;38225;35559;35698;36041;36514;37032;37385;37961;38452;38675;38670;38889;38918;39143;39203;39115;39132;38904;38719;38641;38395;38225
18001;Adams County;Indiana;828213;827017;863133;919837;907707;939870;960918;985514;931152;977193;1085282;1161114;1213751;1263257;1253849;1270788;1336609;1390338;1428077;1533301;1697688;33556;33523;33746;33822;33867;33887;33962;34214;34351;34443;34371;34410;34658;34775;34967;35221;35415;35571;35694;35826;35961;33556;33523;33746;33822;33867;33887;33962;34214;34351;34443;34371;34410;34658;34775;34967;35221;35415;35571;35694;35826;35961
18003;Allen County;Indiana;9937760;10155245;10147829;10585109;10953478;11786104;12241745;12487389;11958270;12379392;13223359;13932907;13976092;14846653;15661141;16015353;16471622;17440354;18130068;19541434;21249580;334956;337124;339569;340916;343238;346314;349534;351264;353693;356044;359463;361762;364617;366813;369446;371849;374509;378174;382508;385892;388608;334956;337124;339569;340916;343238;346314;349534;351264;353693;356044;359463;361762;364617;366813;369446;371849;374509;378174;382508;385892;388608
18005;Bartholomew County;Indiana;2155108;2199897;2292497;2417389;2474349;2668558;2770867;2925539;2770257;2921860;3156787;3441550;3412188;3629436;3756097;3815918;3952247;4256143;4438762;4726875;5042172;72110;71890;72299;72882;73660;74508;75265;76080;76566;76773;77385;78566;79016;79654;80403;81035;80902;81282;82045;82157;82475;72110;71890;72299;72882;73660;74508;75265;76080;76566;76773;77385;78566;79016;79654;80403;81035;80902;81282;82045;82157;82475
18007;Benton County;Indiana;257848;253465;247616;267098;258275;268081;289308;324242;293985;295658;345382;320049;391669;343411;296430;336970;329598;348625;363849;415628;467092;9313;9163;9148;9016;8915;8871;8805;8801;8735;8862;8856;8819;8745;8714;8686;8644;8621;8658;8741;8712;8714;9313;9163;9148;9016;8915;8871;8805;8801;8735;8862;8856;8819;8745;8714;8686;8644;8621;8658;8741;8712;8714
18009;Blackford County;Indiana;329191;327599;330735;347767;353877;363528;380821;400477;375106;392502;402113;408662;419802;427078;427553;422381;429951;442904;453787;485900;535928;13735;13696;13642;13496;13392;13161;13078;12971;12844;12779;12697;12602;12563;12481;12408;12311;12251;12197;12078;12098;12091;13735;13696;13642;13496;13392;13161;13078;12971;12844;12779;12697;12602;12563;12481;12408;12311;12251;12197;12078;12098;12091
18011;Boone County;Indiana;1866250;1885859;1956958;2134546;2303190;2599719;2708531;2948249;2806225;2953595;3250849;3454487;3712186;3873592;4203336;4507808;4675926;4991349;5408324;5710141;6208351;47035;48071;49047;50158;51261;52750;53778;54648;55915;56961;58111;59395;60883;62345;63943;65324;67081;68444;69557;71169;73052;47035;48071;49047;50158;51261;52750;53778;54648;55915;56961;58111;59395;60883;62345;63943;65324;67081;68444;69557;71169;73052
18013;Brown County;Indiana;452156;444925;453658;467464;482454;507808;533015;532639;513504;528623;560551;590470;593618;612888;642002;662999;681239;722226;752654;798747;860720;15200;15339;15375;15390;15283;15329;15274;15274;15261;15219;15123;15133;15177;15103;15189;15239;15283;15541;15396;15470;15552;15200;15339;15375;15390;15283;15329;15274;15274;15261;15219;15123;15133;15177;15103;15189;15239;15283;15541;15396;15470;15552
18015;Carroll County;Indiana;556650;542202;558284;567277;584370;584913;619562;661243;628936;667606;721131;743183;792681;782342;753137;785212;810232;852302;882596;958115;1048631;20298;20270;20433;20148;20274;20179;20118;20114;20103;20202;20054;20132;20146;19995;19937;20022;20138;20280;20292;20307;20444;20298;20270;20433;20148;20274;20179;20118;20114;20103;20202;20054;20132;20146;19995;19937;20022;20138;20280;20292;20307;20444
18017;Cass County;Indiana;1023519;1030589;1046070;1071345;1067973;1106427;1157094;1211363;1132729;1169928;1230826;1271691;1312665;1337571;1339855;1355948;1408471;1455714;1516904;1652149;1797526;40859;40389;40218;39921;39637;39255;39033;39070;38968;38996;38968;38863;38713;38655;38290;38178;38117;38215;37976;37771;37563;40859;40389;40218;39921;39637;39255;39033;39070;38968;38996;38968;38863;38713;38655;38290;38178;38117;38215;37976;37771;37563
18019;Clark County;Indiana;2718077;2772794;2921229;2970985;3102170;3342718;3452359;3647116;3711538;4001165;4378969;4611773;4565100;4596831;4761762;4793433;4961115;5134371;5442227;5865131;6368512;97228;97935;99349;100435;101781;104148;105672;107406;109067;110619;111741;112307;113345;114907;115914;116893;118089;118935;120051;121282;122738;97228;97935;99349;100435;101781;104148;105672;107406;109067;110619;111741;112307;113345;114907;115914;116893;118089;118935;120051;121282;122738
18021;Clay County;Indiana;601559;606859;642809;673335;673554;709733;739035;778794;783021;813076;844915;856007;879314;889603;908585;933355;969190;982822;998799;1087804;1185219;26605;26486;26788;27015;27097;27096;26983;27058;26901;26868;26872;26842;26735;26524;26510;26341;26318;26376;26482;26432;26410;26605;26486;26788;27015;27097;27096;26983;27058;26901;26868;26872;26842;26735;26524;26510;26341;26318;26376;26482;26432;26410
18023;Clinton County;Indiana;807606;811918;844317;884165;891010;913389;974545;1012309;969373;999578;1063692;1089146;1131132;1153712;1137071;1157477;1178193;1245489;1274011;1377264;1498014;33809;33610;33383;33342;33237;33298;33188;33352;33280;33246;33154;33103;33074;32861;32865;32741;32833;32884;33168;33151;33065;33809;33610;33383;33342;33237;33298;33188;33352;33280;33246;33154;33103;33074;32861;32865;32741;32833;32884;33168;33151;33065
18025;Crawford County;Indiana;225628;231964;238883;245910;247928;255058;263391;275620;273817;283384;291921;299904;300580;318880;330053;336671;347341;357757;369704;405631;440048;10922;10976;11007;11029;11012;11008;10933;10792;10664;10709;10612;10651;10595;10635;10514;10519;10474;10519;10518;10540;10514;10922;10976;11007;11029;11012;11008;10933;10792;10664;10709;10612;10651;10595;10635;10514;10519;10474;10519;10518;10540;10514
18027;Daviess County;Indiana;726646;721886;771769;827759;845895;878997;924701;995076;971695;1005852;1089415;1130266;1199529;1221167;1280033;1279067;1346286;1409913;1461541;1630970;1770304;29755;29860;30108;30300;30452;30469;30702;30947;31389;31719;31941;32094;32245;32633;32772;32944;33061;33238;33352;33391;33397;29755;29860;30108;30300;30452;30469;30702;30947;31389;31719;31941;32094;32245;32633;32772;32944;33061;33238;33352;33391;33397
18029;Dearborn County;Indiana;1525453;1594157;1654998;1665602;1634168;1696757;1745249;1821817;1758126;1788915;1873327;1961545;1997382;2056097;2166604;2174315;2253975;2364012;2482738;2641973;2834594;46726;47052;47631;48135;48421;48879;49348;49643;49931;50105;50103;49945;50051;49830;49964;50031;50289;50304;50407;50726;50816;46726;47052;47631;48135;48421;48879;49348;49643;49931;50105;50103;49945;50051;49830;49964;50031;50289;50304;50407;50726;50816
18031;Decatur County;Indiana;673715;683872;711220;736459;750900;796569;820606;864054;822095;864338;897953;946788;982698;1005804;1009528;1047906;1086642;1129907;1196769;1304907;1405293;24585;24793;24946;25208;25374;25469;25486;25600;25595;25792;25889;26022;26203;26374;26292;26514;26562;26611;26389;26477;26320;24585;24793;24946;25208;25374;25469;25486;25600;25595;25792;25889;26022;26203;26374;26292;26514;26562;26611;26389;26477;26320
18033;DeKalb County;Indiana;1060308;1083728;1110147;1179392;1220297;1263660;1326187;1380232;1295954;1346432;1480282;1532342;1555867;1610218;1682939;1760909;1822536;1904208;1985006;2108794;2251612;40576;40732;41047;41283;41494;41594;41876;42033;42053;42327;42456;42258;42264;42293;42327;42451;42573;42935;43225;43274;43333;40576;40732;41047;41283;41494;41594;41876;42033;42053;42327;42456;42258;42264;42293;42327;42451;42573;42935;43225;43274;43333
18035;Delaware County;Indiana;3059569;3053252;3125647;3154980;3190987;3199311;3231623;3335734;3270663;3324124;3482380;3625509;3676449;3805175;3902765;3966784;4104835;4177702;4349369;4690081;5070606;120281;119949;119935;118938;118170;117326;117229;117007;117490;117628;117695;116663;116304;115794;114914;114627;114031;112723;112208;111669;111871;120281;119949;119935;118938;118170;117326;117229;117007;117490;117628;117695;116663;116304;115794;114914;114627;114031;112723;112208;111669;111871
18037;Dubois County;Indiana;1286436;1302250;1352094;1457109;1494710;1586121;1638805;1736362;1581376;1696179;1875745;1947875;1973160;2154805;2217658;2198101;2296240;2352494;2392217;2541364;2654479;40142;40244;40547;40950;41265;41589;41728;41955;41897;41931;42289;42318;42621;42752;42881;43123;43286;43441;43558;43604;43549;40142;40244;40547;40950;41265;41589;41728;41955;41897;41931;42289;42318;42621;42752;42881;43123;43286;43441;43558;43604;43549
18039;Elkhart County;Indiana;4940677;5125933;5341984;5664572;5939471;6178363;6341670;6196381;5653479;6049330;6440280;6955673;7221058;7803468;8196076;8566765;9257924;9531649;9495118;10201740;11382003;184708;184543;187149;189316;192242;195047;196304;197762;197514;197472;198387;199160;200474;201774;203430;204114;204843;206230;206985;206842;206921;184708;184543;187149;189316;192242;195047;196304;197762;197514;197472;198387;199160;200474;201774;203430;204114;204843;206230;206985;206842;206921
18041;Fayette County;Indiana;658705;657623;659333;679382;673913;684901;701748;713764;692340;727360;763285;791554;802665;833354;833051;864823;893788;925257;947438;1022401;1111644;25263;25094;24953;24844;24700;24508;24413;24384;24247;24336;24210;24053;23977;23635;23627;23527;23462;23393;23450;23333;23360;25263;25094;24953;24844;24700;24508;24413;24384;24247;24336;24210;24053;23977;23635;23627;23527;23462;23393;23450;23333;23360
18043;Floyd County;Indiana;2234586;2262967;2307473;2461493;2552847;2721652;2838991;2926236;2842251;2893842;3080907;3274543;3351022;3607636;3815354;4039569;4084575;4288381;4453718;4678620;5034666;71441;71407;71219;71465;71905;72358;72876;73775;74284;74741;75165;75607;76524;76755;77326;77718;78109;79096;79988;80437;80454;71441;71407;71219;71465;71905;72358;72876;73775;74284;74741;75165;75607;76524;76755;77326;77718;78109;79096;79988;80437;80454
18045;Fountain County;Indiana;434617;427046;441304;474615;483730;493411;519860;557267;526143;547428;582188;598864;627162;599307;586868;611127;628054;652207;663799;734320;798067;17752;17825;17738;17578;17436;17459;17396;17356;17183;17279;17157;17116;16876;16684;16527;16445;16420;16414;16396;16470;16427;17752;17825;17738;17578;17436;17459;17396;17356;17183;17279;17157;17116;16876;16684;16527;16445;16420;16414;16396;16470;16427
18047;Franklin County;Indiana;633611;627614;630636;686992;713997;782990;806152;835609;818486;860404;900679;921231;927641;939071;979764;986838;1020895;1045727;1074405;1160624;1243771;22315;22475;22700;22852;23049;23122;23276;23330;23195;23058;23044;23040;22987;23002;22963;22787;22716;22768;22779;22767;22842;22315;22475;22700;22852;23049;23122;23276;23330;23195;23058;23044;23040;22987;23002;22963;22787;22716;22768;22779;22767;22842
18049;Fulton County;Indiana;493395;496204;514077;547357;557883;578593;610253;654492;619730;658649;707888;741168;762948;765168;771155;772066;799438;836444;858363;930674;1003096;20509;20464;20379;20466;20540;20563;20571;20670;20772;20828;20788;20735;20593;20703;20568;20412;20324;20458;20427;20434;20386;20509;20464;20379;20466;20540;20563;20571;20670;20772;20828;20788;20735;20593;20703;20568;20412;20324;20458;20427;20434;20386
18051;Gibson County;Indiana;853220;888794;964738;1009421;1014271;1047181;1059636;1123488;1070846;1133827;1193910;1236727;1335507;1356053;1356064;1394582;1444294;1501650;1539809;1658012;1763468;32647;32684;32934;33198;33268;33429;33290;33331;33345;33526;33430;33361;33244;33407;33255;33192;33175;32992;33001;33021;32924;32647;32684;32934;33198;33268;33429;33290;33331;33345;33526;33430;33361;33244;33407;33255;33192;33175;32992;33001;33021;32924
18053;Grant County;Indiana;1753599;1792065;1822190;1822228;1809595;1888388;1959519;2088912;2088397;2139234;2219783;2337037;2370507;2433761;2504042;2487002;2519761;2639447;2624183;2839250;3107218;72905;72425;72113;71479;70803;70448;70012;70250;70195;69939;69795;69402;69307;68927;68209;67516;67278;67137;66980;66446;66263;72905;72425;72113;71479;70803;70448;70012;70250;70195;69939;69795;69402;69307;68927;68209;67516;67278;67137;66980;66446;66263
18055;Greene County;Indiana;753741;764578;803669;844134;869561;896925;944786;1008514;1006555;1037109;1079564;1105162;1103361;1143665;1157333;1183983;1215828;1253654;1319668;1424758;1543335;33195;33052;33287;33384;33320;33223;33020;32977;32995;33170;32857;32629;32289;32060;31701;31373;31201;30999;30858;30790;30786;33195;33052;33287;33384;33320;33223;33020;32977;32995;33170;32857;32629;32289;32060;31701;31373;31201;30999;30858;30790;30786
18057;Hamilton County;Indiana;9100710;9228708;9508376;10491084;11311199;12611588;13569658;14608960;14199687;15134928;16482501;17684670;18410417;19783310;21058808;22275394;23507320;25114978;26772483;28339630;30605428;194664;204721;215152;225319;235039;244738;253725;261974;269394;276593;283889;290713;298290;304682;310840;318930;326433;334364;342222;348868;356650;194664;204721;215152;225319;235039;244738;253725;261974;269394;276593;283889;290713;298290;304682;310840;318930;326433;334364;342222;348868;356650
18059;Hancock County;Indiana;1926705;1951305;2005977;2158355;2305869;2497957;2593692;2705618;2594261;2743109;2858102;3019165;3059788;3136944;3315038;3491808;3654207;3897375;4088995;4381141;4751492;56729;58223;59606;60922;63045;65402;67115;68107;69183;70260;70443;70721;71184;72017;72745;74159;75474;77023;78732;80156;81789;56729;58223;59606;60922;63045;65402;67115;68107;69183;70260;70443;70721;71184;72017;72745;74159;75474;77023;78732;80156;81789
18061;Harrison County;Indiana;955197;970794;990885;1109615;1134051;1250606;1294361;1351414;1311617;1315544;1364052;1413328;1416290;1470259;1525923;1578836;1620662;1694350;1772518;1898001;2058434;34863;35408;35934;36736;37354;37766;38142;38628;39148;39304;39068;38800;38694;38771;39033;39069;39099;39454;39645;39652;39761;34863;35408;35934;36736;37354;37766;38142;38628;39148;39304;39068;38800;38694;38771;39033;39069;39099;39454;39645;39652;39761
18063;Hendricks County;Indiana;3535104;3664001;3890379;4086284;4346953;4820413;5148568;5538960;5427185;5596403;5945194;6224996;6455234;6744516;7127676;7555577;7936893;8413279;8788185;9603440;10726065;110144;115206;119340;124115;128082;132350;137267;140710;143944;146002;148927;151215;154264;156793;158958;161804;165225;168599;172023;175528;179355;110144;115206;119340;124115;128082;132350;137267;140710;143944;146002;148927;151215;154264;156793;158958;161804;165225;168599;172023;175528;179355
18065;Henry County;Indiana;1250600;1282230;1331677;1330927;1335645;1391097;1442602;1497775;1436727;1436958;1501575;1559012;1586301;1636280;1658536;1708906;1766270;1832623;1907546;2074805;2258174;48397;48258;48145;48184;48064;48375;48030;49420;49305;49552;49331;49315;49130;49258;49118;48889;48802;48915;48817;48885;48935;48397;48258;48145;48184;48064;48375;48030;49420;49305;49552;49331;49315;49130;49258;49118;48889;48802;48915;48817;48885;48935
18067;Howard County;Indiana;2352872;2393558;2454586;2530083;2572055;2652776;2771585;2718493;2532829;2592678;2739653;2865087;2916649;3041987;3135380;3185346;3273754;3421963;3495598;3701513;3935876;84909;84563;84538;84291;84382;83943;83743;83472;82701;82775;82919;83059;83057;83020;82855;82965;82960;83087;83500;83619;83687;84909;84563;84538;84291;84382;83943;83743;83472;82701;82775;82919;83059;83057;83020;82855;82965;82960;83087;83500;83619;83687
18069;Huntington County;Indiana;1010078;1008598;1040261;1092317;1103442;1154679;1182503;1216285;1153579;1189345;1273107;1308914;1338816;1360125;1387307;1397288;1445458;1505867;1548907;1664729;1820107;37877;37992;37875;37768;37650;37601;37447;37244;37205;37121;37197;37033;36858;36719;36652;36451;36413;36429;36747;36599;36717;37877;37992;37875;37768;37650;37601;37447;37244;37205;37121;37197;37033;36858;36719;36652;36451;36413;36429;36747;36599;36717
18071;Jackson County;Indiana;1045256;1040786;1080746;1165333;1206527;1273981;1329505;1407536;1424527;1472642;1546055;1621557;1631876;1711231;1756582;1749477;1780677;1906225;1952287;2114828;2278053;41343;41335;41403;41417;41683;41725;41693;41705;41798;42634;43174;43453;44118;44600;44986;45301;45462;45786;46136;46373;46067;41343;41335;41403;41417;41683;41725;41693;41705;41798;42634;43174;43453;44118;44600;44986;45301;45462;45786;46136;46373;46067
18073;Jasper County;Indiana;803997;800595;834484;906071;942714;1007204;1110797;1162673;1058619;1132529;1231907;1278930;1372215;1391986;1377067;1384783;1395392;1447916;1516457;1657725;1820607;30417;30664;31133;31503;31763;32419;32894;33155;33278;33485;33367;33385;33269;33309;33234;33101;33074;32942;33049;32906;33091;30417;30664;31133;31503;31763;32419;32894;33155;33278;33485;33367;33385;33269;33309;33234;33101;33074;32942;33049;32906;33091
18075;Jay County;Indiana;483075;482009;521679;558196;557835;583898;605679;659707;598051;636588;688018;727482;745849;792708;826537;751199;782422;795712;767956;867912;998217;21726;21713;21681;21651;21595;21564;21580;21467;21399;21180;21343;21358;21284;21157;21163;21054;20917;20764;20492;20456;20248;21726;21713;21681;21651;21595;21564;21580;21467;21399;21180;21343;21358;21284;21157;21163;21054;20917;20764;20492;20456;20248
18077;Jefferson County;Indiana;763459;775665;815661;874168;907639;954255;987783;1056789;1013223;1069122;1123790;1166729;1170208;1201658;1258206;1262811;1290682;1358156;1446422;1560357;1681377;31887;31871;31779;31787;31998;32287;32140;32586;32558;32423;32392;32659;32711;32820;32809;32860;32723;32960;33155;33075;33141;31887;31871;31779;31787;31998;32287;32140;32586;32558;32423;32392;32659;32711;32820;32809;32860;32723;32960;33155;33075;33141
18079;Jennings County;Indiana;630004;633894;650021;696169;717116;753512;784618;811715;786878;813649;852388;912933;926241;959807;987444;1004885;1042997;1092622;1144219;1240191;1357253;27932;28131;28012;28202;28352;28320;28502;28480;28546;28483;28162;28165;28260;27958;27881;27723;27733;27703;27720;27564;27409;27932;28131;28012;28202;28352;28320;28502;28480;28546;28483;28162;28165;28260;27958;27881;27723;27733;27703;27720;27564;27409
